"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","fullad","long","lat"
"1","31-Dec-16","Georgia","Lenox (El Dorado)","27 Briarwood Ct",2,2,"N/A","27 Briarwood Ct ,  Lenox (El Dorado) ,  Georgia","-83.4983023","31.354947"
"2","31-Dec-16","Texas","Houston","3704 Fannin Street",1,3,"N/A","3704 Fannin Street ,  Houston ,  Texas","NA","NA"
"3","30-Dec-16","Ohio","Mansfield","3230 Possum Run Rd",0,5,"N/A","3230 Possum Run Rd ,  Mansfield ,  Ohio","NA","NA"
"4","30-Dec-16","Connecticut","Wallingford","95 S Turnpike Road",2,2,"N/A","95 S Turnpike Road ,  Wallingford ,  Connecticut","-72.8451887","41.4494322"
"5","28-Dec-16","Georgia","Columbus","2914 10th Street",1,4,"N/A","2914 10th Street ,  Columbus ,  Georgia","NA","NA"
"6","25-Dec-16","Alabama","Ozark","858 US-231",0,4,"N/A","858 US-231 ,  Ozark ,  Alabama","-85.6612494","31.449915"
"7","25-Dec-16","Illinois","Chicago","8600 block of South Maryland Avenue",3,4,"N/A","8600 block of South Maryland Avenue ,  Chicago ,  Illinois","-87.6036534","41.7383379"
"8","25-Dec-16","New York","Mount Vernon","4 North 3rd Avenue",1,5,"N/A","4 North 3rd Avenue ,  Mount Vernon ,  New York","-73.8367044","40.9124997"
"9","24-Dec-16","North Carolina","Madison","490 K Ford Rd",0,7,"N/A","490 K Ford Rd ,  Madison ,  North Carolina","-80.007822","36.389223"
"10","24-Dec-16","North Carolina","Wilson","2241 Banks Lane East",4,0,"N/A","2241 Banks Lane East ,  Wilson ,  North Carolina","-77.8730269","35.7313199"
"11","23-Dec-16","Alabama","Birmingham","3813 Richard Arrington Boulevard North",1,3,"N/A","3813 Richard Arrington Boulevard North ,  Birmingham ,  Alabama","-86.7825393","33.5383163"
"12","23-Dec-16","Illinois","Chicago","4900 block of West Hubbard",0,4,"N/A","4900 block of West Hubbard ,  Chicago ,  Illinois","NA","NA"
"13","17-Dec-16","North Carolina","Charlotte","4115 N. Tryon Street",0,4,"N/A","4115 N. Tryon Street ,  Charlotte ,  North Carolina","-80.7965197","35.2579771"
