"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","fullad","long","lat"
"104","August 25, 2017","Florida","Gainesville","1600 NE 8th Ave",0,4,"N/A","1600 NE 8th Ave ,  Gainesville ,  Florida","-82.3046666","29.6592077"
"105","August 24, 2017","Missouri","Saint Louis","10400 block of Balmoral Dr",4,0,"N/A","10400 block of Balmoral Dr ,  Saint Louis ,  Missouri","-90.2010733","38.754081"
"106","August 22, 2017","Illinois","Chicago","300 block of N Central Ave",0,4,"N/A","300 block of N Central Ave ,  Chicago ,  Illinois","-87.765465","41.885933"
"107","August 21, 2017","New Jersey","Newark","Fabyan Place",0,4,"N/A","Fabyan Place ,  Newark ,  New Jersey","-74.222108","40.7154265"
"108","August 21, 2017","New Jersey","Newark","700 block of S 19th St",1,3,"N/A","700 block of S 19th St ,  Newark ,  New Jersey","-74.2124371","40.7324693"
"109","August 21, 2017","Maryland","Baltimore","Cottage Avenue and Park Heights Avenue",1,3,"N/A","Cottage Avenue and Park Heights Avenue ,  Baltimore ,  Maryland","-76.6575222","39.3273326"
"110","August 21, 2017","North Carolina","Whitakers","980 Fishing Creek Rd",4,0,"N/A","980 Fishing Creek Rd ,  Whitakers ,  North Carolina","NA","NA"
"111","August 21, 2017","Tennessee","Memphis","262 Decatur St",0,4,"N/A","262 Decatur St ,  Memphis ,  Tennessee","-90.0259271","35.1471791"
"112","August 20, 2017","Illinois","Chicago","11901 S Loomis St",2,5,"N/A","11901 S Loomis St ,  Chicago ,  Illinois","-87.6560016","41.6768437"
"113","August 20, 2017","New York","Brooklyn","100th St and Ave M",0,4,"N/A","100th St and Ave M ,  Brooklyn ,  New York","-73.8910242","40.6386145"
"114","August 19, 2017","Ohio","Cleveland","11143 Superior Ave",1,4,"N/A","11143 Superior Ave ,  Cleveland ,  Ohio","NA","NA"
"115","August 16, 2017","New York","Wyandanch","Merritt Ave and 15th St",0,4,"N/A","Merritt Ave and 15th St ,  Wyandanch ,  New York","NA","NA"
"116","August 14, 2017","California","North Hollywood","Morrison St and Klump Ave",2,2,"N/A","Morrison St and Klump Ave ,  North Hollywood ,  California","-118.3757613","34.160824"
"117","August 13, 2017","California","Sacramento","4000 Block of Martin Luther King Jr Blvd",0,4,"N/A","4000 Block of Martin Luther King Jr Blvd ,  Sacramento ,  California","-121.4647521","38.5383649"
"118","August 13, 2017","Virginia","Suffolk","8700 block of Quay Rd",0,4,"N/A","8700 block of Quay Rd ,  Suffolk ,  Virginia","-76.8394274","36.6524118"
"119","August 13, 2017","Pennsylvania","Philadelphia","39th St and Melon St",0,5,"N/A","39th St and Melon St ,  Philadelphia ,  Pennsylvania","-75.1999605","39.9648942"
"120","August 12, 2017","Missouri","Saint Louis","12310 Bellefontaine Rd",1,3,"N/A","12310 Bellefontaine Rd ,  Saint Louis ,  Missouri","-90.212354","38.7965779"
"121","August 8, 2017","Illinois","Chicago","1 block of East 37th Street",1,6,"N/A","1 block of East 37th Street ,  Chicago ,  Illinois","-87.626407","41.8273618"
"122","August 6, 2017","New York","Bronx","Wickham Ave",0,6,"N/A","Wickham Ave ,  Bronx ,  New York","NA","NA"
"123","August 6, 2017","New York","Bronx","Unionport Rd",0,4,"N/A","Unionport Rd ,  Bronx ,  New York","-73.8633492","40.8412711"
"124","August 6, 2017","California","Oakland","1000 block of 106th Avenue",0,7,"N/A","1000 block of 106th Avenue ,  Oakland ,  California","NA","NA"
"125","August 5, 2017","New Jersey","Lakewood","900 block of Brook Road",0,4,"N/A","900 block of Brook Road ,  Lakewood ,  New Jersey","NA","NA"
"126","August 5, 2017","South Carolina","Allendale","300 block of Ellis St",1,3,"N/A","300 block of Ellis St ,  Allendale ,  South Carolina","NA","NA"
"127","August 5, 2017","Florida","Tallahassee","1939 W Tennessee St",1,3,"N/A","1939 W Tennessee St ,  Tallahassee ,  Florida","NA","NA"
"128","August 4, 2017","Montana","Lodge Grass","200 block of North Helen Street",3,2,"N/A","200 block of North Helen Street ,  Lodge Grass ,  Montana","-107.3647354","45.311567"
"129","August 3, 2017","District of Columbia","Washington","3426 18th St NE",1,3,"N/A","3426 18th St NE ,  Washington ,  District of Columbia","-76.9798706","38.9326928"
"130","August 2, 2017","Maryland","Baltimore","900 block of N Broadway",0,4,"N/A","900 block of N Broadway ,  Baltimore ,  Maryland","NA","NA"
"131","August 1, 2017","Washington","Toppenish","8000 Block of Lateral C Rd",0,6,"N/A","8000 Block of Lateral C Rd ,  Toppenish ,  Washington","-120.5230681","46.36072"
"132","August 1, 2017","California","Fresno","Mariposa St and A St",0,7,"N/A","Mariposa St and A St ,  Fresno ,  California","NA","NA"
"133","August 1, 2017","Illinois","Chicago","800 block of N Monticello Ave",0,4,"N/A","800 block of N Monticello Ave ,  Chicago ,  Illinois","-87.7175234","41.8954421"
"134","July 31, 2017","Illinois","Decatur","Jasper St and Main St",0,4,"N/A","Jasper St and Main St ,  Decatur ,  Illinois","-88.9404161","39.84177"
"135","July 30, 2017","Virginia","Norfolk","1500 block of Azalea Garden Rd",1,5,"N/A","1500 block of Azalea Garden Rd ,  Norfolk ,  Virginia","-76.2347712","36.8668979"
"136","July 30, 2017","Texas","El Paso","1810 George Dieter Dr",1,3,"N/A","1810 George Dieter Dr ,  El Paso ,  Texas","NA","NA"
"137","July 29, 2017","New York","Buffalo","200 block of Carl St",1,4,"N/A","200 block of Carl St ,  Buffalo ,  New York","-78.828214","42.920097"
"138","July 29, 2017","North Carolina","Salisbury","115 W Fisher St",2,3,"N/A","115 W Fisher St ,  Salisbury ,  North Carolina","-80.4716843","35.6668114"
"139","July 28, 2017","Delaware","Wilmington","400 block of N Washington St",0,4,"N/A","400 block of N Washington St ,  Wilmington ,  Delaware","-75.5552679","39.742038"
"140","July 27, 2017","Illinois","Chicago","2000 block of E 71st St",1,4,"N/A","2000 block of E 71st St ,  Chicago ,  Illinois","-87.5758689","41.7664443"
"141","July 26, 2017","North Carolina","High Point","2111 E. Green Drive",1,6,"N/A","2111 E. Green Drive ,  High Point ,  North Carolina","-79.9808362","35.9532518"
"142","July 25, 2017","Florida","Jacksonville","1040 Golfair Boulevard",1,3,"N/A","1040 Golfair Boulevard ,  Jacksonville ,  Florida","-81.6704511","30.3645369"
"143","July 23, 2017","Illinois","Chicago","1500 block of East 82nd St",1,3,"N/A","1500 block of East 82nd St ,  Chicago ,  Illinois","NA","NA"
"144","July 23, 2017","Louisiana","Baton Rouge","10360 Ave H",0,4,"N/A","10360 Ave H ,  Baton Rouge ,  Louisiana","NA","NA"
